"@timestamp","host.name","suricata.eve.flow_id","source.ip","source.port","destination.ip","destination.port","source.geo.country_iso_code","destination.geo.country_iso_code"
"Oct 28, 2022 @ 14:27:19.536",soniot3,1504955439530890,"127.0.0.1",47252,"127.0.0.1",9200,"-","-"
"Oct 28, 2022 @ 14:27:19.536",soniot3,1504955439530890,"127.0.0.1",47252,"127.0.0.1",9200,"-","-"
"Oct 28, 2022 @ 14:27:09.701",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:07.684",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:06.672",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:27:05.809",soniot3,1504955439530890,"127.0.0.1",47252,"127.0.0.1",9200,"-","-"
"Oct 28, 2022 @ 14:27:02.661",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:26:53.198",soniot3,344541379758307,"192.168.28.55",37705,"192.168.28.63",22,"-","-"
"Oct 28, 2022 @ 14:26:50.640",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:26:32.594",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:26:20.974",soniot3,1345135613632381,"192.168.28.55",36103,"192.168.28.63",22,"-","-"
"Oct 28, 2022 @ 14:26:20.974",soniot3,1345135613632381,"192.168.28.55",36103,"192.168.28.63",22,"-","-"
"Oct 28, 2022 @ 14:26:16.558",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:26:01.536",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 14:25:54.528",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
